                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 1.1214,                0.62961,                 1.1081,                0.90594,                 0.8026,                0.84309,                0.54123,                 1.2342,                0.77281,                 1.2327,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.1564,                0.66784,                 1.1151,                0.91306,                0.80303,                0.85302,                0.51053,                  1.304,                0.81608,                 1.2718,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.1401,                0.65539,                 1.1098,                0.91419,                0.83333,                0.86451,                0.55377,                 1.2626,                 0.7344,                 1.2618,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.1359,                0.62429,                 1.1211,                0.93426,                0.81818,                0.87194,                 0.5352,                 1.2326,                0.81219,                 1.2455,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.1053,                0.62839,                 1.1098,                0.89152,                0.84091,                0.84929,                0.55488,                 1.1366,                 0.6906,                 1.1888,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.1229,                0.59906,                 1.1032,                0.90139,                0.83099,                0.87115,                0.53197,                 1.3082,                 0.7183,                 1.2668,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.1504,                0.64862,                 1.1083,                0.91156,                0.78788,                0.85189,                0.52996,                 1.2741,                0.73692,                 1.2711,                0.00101,                0.00101,                0.00101
                    102,                 1.0956,                0.61332,                 1.0782,                  0.862,                0.83333,                0.87289,                0.55631,                 1.2487,                0.74122,                 1.2125,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.1161,                0.62186,                 1.0826,                0.94672,                0.80764,                0.87927,                0.59024,                    1.1,                0.67348,                 1.1546,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.0906,                0.61802,                 1.0794,                 0.9044,                0.86002,                0.87729,                0.56292,                 1.1875,                0.69897,                 1.2129,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.0932,                0.62637,                 1.0667,                0.93191,                0.82946,                0.86923,                0.57684,                 1.1476,                0.67685,                 1.1784,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.1262,                0.62477,                   1.09,                0.90111,                0.82836,                0.84597,                0.54255,                 1.2212,                0.74964,                  1.229,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.0893,                0.61991,                 1.0752,                0.88642,                0.82776,                0.86928,                0.55274,                 1.2152,                0.70277,                 1.2164,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.0873,                0.60691,                 1.0626,                0.86374,                0.79545,                0.85136,                0.54207,                 1.2457,                0.75558,                 1.2589,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.0667,                0.61068,                 1.0628,                0.89216,                0.81061,                0.85446,                0.53925,                 1.2755,                0.71051,                  1.255,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.0812,                0.59604,                 1.0877,                0.86456,                0.84091,                0.85054,                0.51347,                 1.2813,                0.75611,                 1.2773,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.0703,                0.60808,                 1.0628,                0.86379,                0.82576,                 0.8511,                0.53723,                 1.2586,                0.71413,                 1.2572,               0.000911,               0.000911,               0.000911
                    112,                 1.0731,                0.60571,                  1.057,                0.90498,                0.79545,                0.87418,                0.57823,                 1.1463,                0.68554,                 1.1788,              0.0009011,              0.0009011,              0.0009011
